id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,release_date,vote_average,overview,poster_path,budget,runtime,revenue,production_companies
578,['Steven Spielberg'],Roy Scheider,Robert Shaw,Richard Dreyfuss,"['Horror', 'Thriller', 'Adventure']",Jaws,1975-06-20,7.7,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,7000000,124,470653000,"['Zanuck/Brown Productions', 'Universal Pictures']"
510,['Miloš Forman'],Jack Nicholson,Louise Fletcher,Danny DeVito,['Drama'],One Flew Over the Cuckoo's Nest,1975-11-19,8.4,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,3000000,133,108981275,['Fantasy Films']
4705,['Nello Rossati'],Ursula Andress,Duilio Del Prete,Mario Pisu,['Comedy'],The Sensuous Nurse,1975-12-19,5.5,Greedy relatives hire a sensual caregiver to hasten the demise of a wealthy count suffering from a heart condition.,/2mfEFL6mTV2ETonE6k8cKFMNQKC.jpg,0,90,0,"['New Gold Entertainment', 'Compagnia Cinematografica Champion']"
235331,['Isao Hayashi'],Terumi Azuma,Aoi Nakajima,Naomi Tani,['Crime'],High School Lynching,1975-07-23,3.0,A high school student is captured and sexually tortured.,/owcqxnEq9UixRbl4lXc6zid0piQ.jpg,0,63,0,['Nikkatsu Corporation']
40348,['Bitto Albertini'],Laura Gemser,Karin Schubert,Angelo Infanti,"['Drama', 'Romance', 'Adventure']",Black Emanuelle,1975-11-27,4.6,"In her first onscreen adventure, journalist/photographer Mae Jordan (known to her readers as ""Emanuelle"") travels to Africa on assignment. Questions of her own racial and sexual identity come to a head as she observes the troubled marriage of her hosts, Ann and Gianni Danieli. Matters are complicated further when Emanuelle finds herself in affairs with both of them, after which she flees Africa, only to be persued by Gianni, who had earlier rejected her and ridiculed her advances.",/hFlfmv5oOLxmbybo2ruX7B9b514.jpg,0,94,0,"['San Nicola Produzione Cinematografica', 'Emaus Films S.A.', 'Flaminia Produzioni Cinematografiche']"
28209,['Francis Giacobetti'],Sylvia Kristel,Umberto Orsini,Frédéric Lagache,"['Drama', 'Romance']",Emmanuelle: The Joys of a Woman,1975-12-15,5.4,"Emmanuelle returns to her husband in Hong Kong and proceeds to have several extramarital affairs -- with his knowledge, of course. Her husband's lover and American guest are both very puzzled by their openness.",/cuG4YTomxIOw2yxIcTJMvRiQNYK.jpg,0,84,0,['Trinacra Films']
64557,['Alain Robbe-Grillet'],Jean-Louis Trintignant,Philippe Noiret,Anicée Alvina,['Drama'],Playing with Fire,1975-02-19,5.5,A banker hires a seedy detective to find his daughter and keep her safe from kidnappers.,/2aJKdzZxwvcZqTUv7Bai6zKKmSI.jpg,0,112,0,"['Cinecompany', 'Arcadie Productions', 'Madeleine Films']"
57084,['Gilberto Martínez Solares'],Cecilia Pezet,Enrique Rocha,Delia Magaña,"['Horror', 'Mystery', 'Thriller']",Satanic Pandemonium,1975-06-26,6.5,"Sister Maria is known in the convent for her good works and charity, but, in the secret depths of her sexual fantasies, she is tormented by visions of another world - a world where her forbidden passions are allowed to run free. In this world Satan is her master. As her acts of violence and blasphemy mount, Maria realizes that she has been chosen by the Devil to destroy the convent and lead her sister nuns into hell!",/k6LZn3greNmaYhySVnwUkkDmlpo.jpg,0,89,0,"['Compañía Cinematográfica de Baja California', 'Hollywood Films', 'Promoción Turística Mexicana']"
762,"['Terry Gilliam', 'Terry Jones']",Graham Chapman,John Cleese,Eric Idle,"['Adventure', 'Comedy', 'Fantasy']",Monty Python and the Holy Grail,1975-05-25,7.8,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",/xZ0rC0kuIsjk6RncpNK73kwstEP.jpg,400000,91,1940906,"['Python (Monty) Pictures Limited', 'Michael White Productions', 'National Film Trustee Company']"
288987,['Silvio Amadio'],Gloria Guida,Nino Castelnuovo,Anita Sanders,"['Drama', 'Romance']",That Malicious Age,1975-03-11,6.6,"Gardener Nino Castellano takes a job in a southern-Italian villa and quickly finds himself embroiled in a menage-a-trois with Gloria Guida and Anita Sanders which soon leads to sex, death and mayhem!",/xtLYENqy9UvMFHuTe5YTyr4ipup.jpg,0,90,0,['Domizia Cinematografia']
