,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1319,Leonid Gaidai,Aleksandr Demyanenko,Mikhail Pugovkin,Aleksei Smirnov,Comedy Romance Crime,operation y and other shurik's adventures,Aleksandr Demyanenko Mikhail Pugovkin Aleksei Smirnov Leonid Gaidai Comedy Romance Crime
1320,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Western,"the good, the bad and the ugly",Clint Eastwood Eli Wallach Lee Van Cleef Sergio Leone Western
1321,John Huston,Michael Parks,Ulla Bergryd,Richard Harris,Drama Family,the bible: in the beginning...,Michael Parks Ulla Bergryd Richard Harris John Huston Drama Family
1322,Gérard Oury,Bourvil,Louis de Funès,Terry-Thomas,Comedy War,don't look now... we're being shot at!,Bourvil Louis de Funès Terry-Thomas Gérard Oury Comedy War
1323,Burt Kennedy,Yul Brynner,Robert Fuller,Julián Mateos,Western Action,return of the seven,Yul Brynner Robert Fuller Julián Mateos Burt Kennedy Western Action
1324,Howard Hawks,John Wayne,Robert Mitchum,James Caan,Western Adventure Action Romance,el dorado,John Wayne Robert Mitchum James Caan Howard Hawks Western Adventure Action Romance
1325,Sergio Corbucci,Franco Nero,José Bódalo,Loredana Nusciak,Action Western,django,Franco Nero José Bódalo Loredana Nusciak Sergio Corbucci Action Western
1326,Leslie H. Martinson,Adam West,Burt Ward,Lee Meriwether,Action Comedy Crime,batman,Adam West Burt Ward Lee Meriwether Leslie H. Martinson Action Comedy Crime
1327,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Drama,persona,Bibi Andersson Liv Ullmann Margaretha Krook Ingmar Bergman Drama
1328,Richard Fleischer,Stephen Boyd,Raquel Welch,Edmond O'Brien,Adventure Science Fiction,fantastic voyage,Stephen Boyd Raquel Welch Edmond O'Brien Richard Fleischer Adventure Science Fiction
1329,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Drama History,andrei rublev,Anatoliy Solonitsyn Ivan Lapikov Nikolay Grinko Andrei Tarkovsky Drama History
