,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
941,William Roberts,Edgar Bergen,Dinah Shore,Luana Patten,Animation Family Music,fun and fancy free,Edgar Bergen Dinah Shore Luana Patten William Roberts Animation Family Music
942,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,Crime Drama Mystery Thriller,the lady from shanghai,Rita Hayworth Orson Welles Everett Sloane Orson Welles Crime Drama Mystery Thriller
943,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Crime Drama Romance,out of the past,Robert Mitchum Jane Greer Kirk Douglas Jacques Tourneur Crime Drama Romance
944,Charlie Chaplin,Charlie Chaplin,Mady Correll,Allison Roddan,Comedy Crime,monsieur verdoux,Charlie Chaplin Mady Correll Allison Roddan Charlie Chaplin Comedy Crime
945,Edmund Goulding,Tyrone Power,Helen Walker,Coleen Gray,Drama Crime,nightmare alley,Tyrone Power Helen Walker Coleen Gray Edmund Goulding Drama Crime
946,Emeric Pressburger,Deborah Kerr,David Farrar,Flora Robson,Drama,black narcissus,Deborah Kerr David Farrar Flora Robson Emeric Pressburger Drama
947,James Edward Grant,John Wayne,Gail Russell,Harry Carey,Western Romance Adventure Action,angel and the badman,John Wayne Gail Russell Harry Carey James Edward Grant Western Romance Adventure Action
948,William Roberts,Walt Disney,Clarence Nash,Pinto Colvig,Family Animation Adventure Fantasy,mickey and the beanstalk,Walt Disney Clarence Nash Pinto Colvig William Roberts Family Animation Adventure Fantasy
949,Carol Reed,James Mason,Robert Newton,Cyril Cusack,Crime Drama Thriller,odd man out,James Mason Robert Newton Cyril Cusack Carol Reed Crime Drama Thriller
950,John Cromwell,Humphrey Bogart,Lizabeth Scott,Morris Carnovsky,Crime Drama Mystery,dead reckoning,Humphrey Bogart Lizabeth Scott Morris Carnovsky John Cromwell Crime Drama Mystery
951,Miguel M. Delgado,Cantinflas,Ángel Garasa,Daniel Herrera,Comedy,"¡a volar, joven!",Cantinflas Ángel Garasa Daniel Herrera Miguel M. Delgado Comedy
952,Irving Reis,Cary Grant,Myrna Loy,Shirley Temple,Comedy Romance,the bachelor and the bobby-soxer,Cary Grant Myrna Loy Shirley Temple Irving Reis Comedy Romance
953,Elia Kazan,Gregory Peck,Dorothy McGuire,John Garfield,Drama Romance,gentleman's agreement,Gregory Peck Dorothy McGuire John Garfield Elia Kazan Drama Romance
954,Joseph L. Mankiewicz,Gene Tierney,Rex Harrison,George Sanders,Fantasy Romance Mystery,the ghost and mrs. muir,Gene Tierney Rex Harrison George Sanders Joseph L. Mankiewicz Fantasy Romance Mystery
955,Henry Hathaway,Victor Mature,Brian Donlevy,Coleen Gray,Crime Drama Thriller,kiss of death,Victor Mature Brian Donlevy Coleen Gray Henry Hathaway Crime Drama Thriller
956,Alfred Hitchcock,Gregory Peck,Ann Todd,Alida Valli,Crime Drama Romance Thriller,the paradine case,Gregory Peck Ann Todd Alida Valli Alfred Hitchcock Crime Drama Romance Thriller
957,Henry Koster,Cary Grant,Loretta Young,David Niven,Comedy Drama Fantasy Romance,the bishop's wife,Cary Grant Loretta Young David Niven Henry Koster Comedy Drama Fantasy Romance
958,Jules Dassin,Burt Lancaster,Hume Cronyn,Charles Bickford,Crime Drama Thriller,brute force,Burt Lancaster Hume Cronyn Charles Bickford Jules Dassin Crime Drama Thriller
959,Edward Buzzell,William Powell,Myrna Loy,Keenan Wynn,Comedy Crime Drama Mystery Thriller,song of the thin man,William Powell Myrna Loy Keenan Wynn Edward Buzzell Comedy Crime Drama Mystery Thriller
960,Roberto Rossellini,Edmund Moeschke,Ernst Pittschau,Ingetraud Hinze,War Drama History,"germany, year zero",Edmund Moeschke Ernst Pittschau Ingetraud Hinze Roberto Rossellini War Drama History
961,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Drama,bicycle thieves,Lamberto Maggiorani Enzo Staiola Lianella Carell Vittorio De Sica Drama
962,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Adventure Drama Western,the treasure of the sierra madre,Humphrey Bogart Walter Huston Tim Holt John Huston Adventure Drama Western
963,Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Crime Drama Thriller,rope,James Stewart John Dall Farley Granger Alfred Hitchcock Crime Drama Thriller
964,Hamilton Luske,Roy Rogers,Dennis Day,Freddy Martin,Music Family Animation Comedy,melody time,Roy Rogers Dennis Day Freddy Martin Hamilton Luske Music Family Animation Comedy
965,Howard Hawks,John Wayne,Montgomery Clift,Joanne Dru,Western Adventure Drama Romance,red river,John Wayne Montgomery Clift Joanne Dru Howard Hawks Western Adventure Drama Romance
966,John Ford,John Wayne,Henry Fonda,Shirley Temple,Western,fort apache,John Wayne Henry Fonda Shirley Temple John Ford Western
967,George Sidney,Lana Turner,Gene Kelly,June Allyson,Action Adventure Drama Romance,the three musketeers,Lana Turner Gene Kelly June Allyson George Sidney Action Adventure Drama Romance
968,David Lean,John Howard Davies,Robert Newton,Alec Guinness,Adventure Drama Family,oliver twist,John Howard Davies Robert Newton Alec Guinness David Lean Adventure Drama Family
969,Emeric Pressburger,Moira Shearer,Adolf Wohlbrück,Marius Goring,Drama Romance,the red shoes,Moira Shearer Adolf Wohlbrück Marius Goring Emeric Pressburger Drama Romance
970,Charles Barton,Bud Abbott,Lou Costello,Lon Chaney Jr.,Comedy Horror,bud abbott and lou costello meet frankenstein,Bud Abbott Lou Costello Lon Chaney Jr. Charles Barton Comedy Horror
971,John Farrow,Ray Milland,Charles Laughton,Maureen O'Sullivan,Crime Drama Mystery Thriller,the big clock,Ray Milland Charles Laughton Maureen O'Sullivan John Farrow Crime Drama Mystery Thriller
972,Victor Fleming,Ingrid Bergman,Francis L. Sullivan,J. Carrol Naish,War Drama History,joan of arc,Ingrid Bergman Francis L. Sullivan J. Carrol Naish Victor Fleming War Drama History
973,Orson Welles,Orson Welles,Jeanette Nolan,Dan O'Herlihy,Drama,macbeth,Orson Welles Jeanette Nolan Dan O'Herlihy Orson Welles Drama
974,Laurence Olivier,Laurence Olivier,Jean Simmons,John Laurie,Drama,hamlet,Laurence Olivier Jean Simmons John Laurie Laurence Olivier Drama
975,John Huston,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Crime Drama Thriller,key largo,Humphrey Bogart Edward G. Robinson Lauren Bacall John Huston Crime Drama Thriller
976,Akira Kurosawa,Takashi Shimura,Toshirō Mifune,Reizaburô Yamamoto,Drama,drunken angel,Takashi Shimura Toshirō Mifune Reizaburô Yamamoto Akira Kurosawa Drama
977,Charles Walters,Judy Garland,Fred Astaire,Peter Lawford,Music Romance,easter parade,Judy Garland Fred Astaire Peter Lawford Charles Walters Music Romance
978,Max Ophüls,Joan Fontaine,Louis Jourdan,Mady Christians,Drama Romance,letter from an unknown woman,Joan Fontaine Louis Jourdan Mady Christians Max Ophüls Drama Romance
979,John Ford,John Wayne,Pedro Armendáriz,"Harry Carey, Jr.",Western,3 godfathers,"John Wayne Pedro Armendáriz Harry Carey, Jr. John Ford Western"
980,Cecil B. DeMille,Hedy Lamarr,Victor Mature,George Sanders,Drama Romance Adventure,samson and delilah,Hedy Lamarr Victor Mature George Sanders Cecil B. DeMille Drama Romance Adventure
981,James Algar,Bing Crosby,Basil Rathbone,Eric Blore,Horror Fantasy Animation Family,the adventures of ichabod and mr. toad,Bing Crosby Basil Rathbone Eric Blore James Algar Horror Fantasy Animation Family
982,Carol Reed,Joseph Cotten,Alida Valli,Orson Welles,Thriller Mystery,the third man,Joseph Cotten Alida Valli Orson Welles Carol Reed Thriller Mystery
983,John Ford,John Wayne,Joanne Dru,John Agar,Western,she wore a yellow ribbon,John Wayne Joanne Dru John Agar John Ford Western
984,Akira Kurosawa,Toshirō Mifune,Takashi Shimura,Keiko Awaji,Crime Drama Thriller,stray dog,Toshirō Mifune Takashi Shimura Keiko Awaji Akira Kurosawa Crime Drama Thriller
985,Mervyn LeRoy,June Allyson,Peter Lawford,Margaret O'Brien,Romance Drama Family,little women,June Allyson Peter Lawford Margaret O'Brien Mervyn LeRoy Romance Drama Family
986,Yasujirō Ozu,Chishū Ryū,Setsuko Hara,Yumeji Tsukioka,Drama,late spring,Chishū Ryū Setsuko Hara Yumeji Tsukioka Yasujirō Ozu Drama
987,George Cukor,Spencer Tracy,Katharine Hepburn,Judy Holliday,Comedy Drama Romance,adam's rib,Spencer Tracy Katharine Hepburn Judy Holliday George Cukor Comedy Drama Romance
988,Robert Rossen,Broderick Crawford,John Ireland,Joanne Dru,Drama,all the king's men,Broderick Crawford John Ireland Joanne Dru Robert Rossen Drama
989,Stanley Donen,Gene Kelly,Frank Sinatra,Betty Garrett,Romance Comedy Music,on the town,Gene Kelly Frank Sinatra Betty Garrett Stanley Donen Romance Comedy Music
990,King Vidor,Gary Cooper,Patricia Neal,Raymond Massey,Drama Romance,the fountainhead,Gary Cooper Patricia Neal Raymond Massey King Vidor Drama Romance
991,Ernest B. Schoedsack,Terry Moore,Ben Johnson,Robert Armstrong,Adventure Fantasy Drama Action Science Fiction,mighty joe young,Terry Moore Ben Johnson Robert Armstrong Ernest B. Schoedsack Adventure Fantasy Drama Action Science Fiction
992,Henry King,Gregory Peck,Hugh Marlowe,Gary Merrill,War Action Drama,twelve o'clock high,Gregory Peck Hugh Marlowe Gary Merrill Henry King War Action Drama
993,Robert Hamer,Dennis Price,Valerie Hobson,Joan Greenwood,Comedy Drama,kind hearts and coronets,Dennis Price Valerie Hobson Joan Greenwood Robert Hamer Comedy Drama
994,Clyde Geronimi,Bing Crosby,Pinto Colvig,Billy Bletcher,Family Animation Horror,the legend of sleepy hollow,Bing Crosby Pinto Colvig Billy Bletcher Clyde Geronimi Family Animation Horror
995,Robert Wise,Robert Ryan,Audrey Totter,George Tobias,Crime Drama,the set-up,Robert Ryan Audrey Totter George Tobias Robert Wise Crime Drama
996,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Crime Drama Thriller,white heat,James Cagney Virginia Mayo Edmond O'Brien Raoul Walsh Crime Drama Thriller
997,Alfred Hitchcock,Ingrid Bergman,Joseph Cotten,Michael Wilding,Crime Drama History Romance Thriller,under capricorn,Ingrid Bergman Joseph Cotten Michael Wilding Alfred Hitchcock Crime Drama History Romance Thriller
998,William Wyler,Olivia de Havilland,Montgomery Clift,Ralph Richardson,Drama Romance History,the heiress,Olivia de Havilland Montgomery Clift Ralph Richardson William Wyler Drama Romance History
999,Giuseppe De Santis,Vittorio Gassman,Doris Dowling,Silvana Mangano,Drama Crime,bitter rice,Vittorio Gassman Doris Dowling Silvana Mangano Giuseppe De Santis Drama Crime
1000,Hamilton Luske,Ilene Woods,Eleanor Audley,Verna Felton,Family Fantasy Animation Romance,cinderella,Ilene Woods Eleanor Audley Verna Felton Hamilton Luske Family Fantasy Animation Romance
1001,Akira Kurosawa,Toshirō Mifune,Machiko Kyō,Takashi Shimura,Crime Drama Mystery,rashomon,Toshirō Mifune Machiko Kyō Takashi Shimura Akira Kurosawa Crime Drama Mystery
1002,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Drama,sunset boulevard,William Holden Gloria Swanson Erich von Stroheim Billy Wilder Drama
1003,John Ford,John Wayne,Maureen O'Hara,Ben Johnson,Western,rio grande,John Wayne Maureen O'Hara Ben Johnson John Ford Western
1004,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Drama,all about eve,Bette Davis Anne Baxter George Sanders Joseph L. Mankiewicz Drama
1005,Delmer Daves,James Stewart,Jeff Chandler,Debra Paget,Western,broken arrow,James Stewart Jeff Chandler Debra Paget Delmer Daves Western
1006,Byron Haskin,Bobby Driscoll,Robert Newton,Basil Sydney,Adventure Family,treasure island,Bobby Driscoll Robert Newton Basil Sydney Byron Haskin Adventure Family
1007,Anthony Mann,James Stewart,Shelley Winters,Dan Duryea,Western,winchester '73,James Stewart Shelley Winters Dan Duryea Anthony Mann Western
1008,Henry Koster,James Stewart,Josephine Hull,Peggy Dow,Comedy Fantasy,harvey,James Stewart Josephine Hull Peggy Dow Henry Koster Comedy Fantasy
1009,Luis Buñuel,Alfonso Mejía,Estela Inda,Efraín Arauz,Crime Drama,the young and the damned,Alfonso Mejía Estela Inda Efraín Arauz Luis Buñuel Crime Drama
1010,Henry King,Gregory Peck,Helen Westcott,Millard Mitchell,Western,the gunfighter,Gregory Peck Helen Westcott Millard Mitchell Henry King Western
1011,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Drama Mystery Romance Thriller,in a lonely place,Humphrey Bogart Gloria Grahame Frank Lovejoy Nicholas Ray Drama Mystery Romance Thriller
1012,Jean Cocteau,Jean Marais,François Périer,María Casares,Drama Fantasy Romance,orpheus,Jean Marais François Périer María Casares Jean Cocteau Drama Fantasy Romance
1013,John Huston,Sterling Hayden,Louis Calhern,Jean Hagen,Crime Drama,the asphalt jungle,Sterling Hayden Louis Calhern Jean Hagen John Huston Crime Drama
1014,Joseph H. Lewis,Peggy Cummins,John Dall,Berry Kroeger,Crime Drama Thriller Action Romance,gun crazy,Peggy Cummins John Dall Berry Kroeger Joseph H. Lewis Crime Drama Thriller Action Romance
1015,Allan Dwan,John Wayne,John Agar,Adele Mara,War Action Drama History,sands of iwo jima,John Wayne John Agar Adele Mara Allan Dwan War Action Drama History
1016,Jules Dassin,Richard Widmark,Gene Tierney,Googie Withers,Drama Thriller Crime,night and the city,Richard Widmark Gene Tierney Googie Withers Jules Dassin Drama Thriller Crime
1017,John Cromwell,Eleanor Parker,Agnes Moorehead,Ellen Corby,Crime Drama,caged,Eleanor Parker Agnes Moorehead Ellen Corby John Cromwell Crime Drama
1018,Alfred Hitchcock,Jane Wyman,Marlene Dietrich,Michael Wilding,Thriller,stage fright,Jane Wyman Marlene Dietrich Michael Wilding Alfred Hitchcock Thriller
1019,Roberto Rossellini,Ingrid Bergman,Mario Vitale,Renzo Cesana,Drama,stromboli,Ingrid Bergman Mario Vitale Renzo Cesana Roberto Rossellini Drama
1020,Hamilton Luske,Kathryn Beaumont,Ed Wynn,Richard Haydn,Animation Family Fantasy Adventure,alice in wonderland,Kathryn Beaumont Ed Wynn Richard Haydn Hamilton Luske Animation Family Fantasy Adventure
