,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1445,Wataru Nakagawa,Misa Aoyama,Akiko Watanabe,Katsurō Sakai,,onsen porno chitai,Misa Aoyama Akiko Watanabe Katsurō Sakai Wataru Nakagawa 
1446,Ronald Neame,Gene Hackman,Ernest Borgnine,Red Buttons,Action Adventure Thriller,the poseidon adventure,Gene Hackman Ernest Borgnine Red Buttons Ronald Neame Action Adventure Thriller
1447,John Waters,Divine,David Lochary,Mary Vivian Pearce,Comedy Crime,pink flamingos,Divine David Lochary Mary Vivian Pearce John Waters Comedy Crime
1448,Bernardo Bertolucci,Marlon Brando,Maria Schneider,Catherine Breillat,Drama Romance,last tango in paris,Marlon Brando Maria Schneider Catherine Breillat Bernardo Bertolucci Drama Romance
1449,Wes Craven,Sandra Peabody,Lucy Grantham,David Hess,Horror Thriller,the last house on the left,Sandra Peabody Lucy Grantham David Hess Wes Craven Horror Thriller
1450,Woody Allen,Woody Allen,John Carradine,Lou Jacobi,Comedy,everything you always wanted to know about sex *but were afraid to ask,Woody Allen John Carradine Lou Jacobi Woody Allen Comedy
1451,J. Lee Thompson,Roddy McDowall,Don Murray,Ricardo Montalban,Action Science Fiction,conquest of the planet of the apes,Roddy McDowall Don Murray Ricardo Montalban J. Lee Thompson Action Science Fiction
1452,Andrei Tarkovsky,Donatas Banionis,Natalya Bondarchuk,Jüri Järvet,Drama Science Fiction Mystery,solaris,Donatas Banionis Natalya Bondarchuk Jüri Järvet Andrei Tarkovsky Drama Science Fiction Mystery
1453,John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Drama Adventure Thriller,deliverance,Jon Voight Burt Reynolds Ned Beatty John Boorman Drama Adventure Thriller
1454,Alfred Hitchcock,Jon Finch,Barry Foster,Barbara Leigh-Hunt,Crime Thriller Horror,frenzy,Jon Finch Barry Foster Barbara Leigh-Hunt Alfred Hitchcock Crime Thriller Horror
1455,Sydney Pollack,Robert Redford,Will Geer,Delle Bolton,Adventure Western History,jeremiah johnson,Robert Redford Will Geer Delle Bolton Sydney Pollack Adventure Western History
1456,Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Music Drama Romance,cabaret,Liza Minnelli Michael York Helmut Griem Bob Fosse Music Drama Romance
1457,John Sturges,Clint Eastwood,Robert Duvall,John Saxon,Western,joe kidd,Clint Eastwood Robert Duvall John Saxon John Sturges Western
1458,Sam Peckinpah,Steve McQueen,Ali MacGraw,Ben Johnson,Action Crime Thriller,the getaway,Steve McQueen Ali MacGraw Ben Johnson Sam Peckinpah Action Crime Thriller
1459,Bethel Buckalew,Terry Gibson,Peggy Church,Gina Paluzzi,Comedy,the pig keeper's daughter,Terry Gibson Peggy Church Gina Paluzzi Bethel Buckalew Comedy
1460,Chūsei Sone,Hitomi Kozue,Moeko Ezawa,Eimei Esumi,Drama Romance,naked rashomon,Hitomi Kozue Moeko Ezawa Eimei Esumi Chūsei Sone Drama Romance
1461,William Friedkin,Ellen Burstyn,Linda Blair,Jason Miller,Horror,the exorcist,Ellen Burstyn Linda Blair Jason Miller William Friedkin Horror
1462,Jesús Franco,Montserrat Prous,Anne Libert,Howard Vernon,Drama,sinner: the secret diary of a nymphomaniac,Montserrat Prous Anne Libert Howard Vernon Jesús Franco Drama
1463,Wolfgang Reitherman,Brian Bedford,Phil Harris,Andy Devine,Animation Family,robin hood,Brian Bedford Phil Harris Andy Devine Wolfgang Reitherman Animation Family
1464,Vittorio De Sisti,Agostina Belli,Gianni Macchia,Françoise Prévost,Comedy Drama,when love is lust,Agostina Belli Gianni Macchia Françoise Prévost Vittorio De Sisti Comedy Drama
1465,Dino Risi,Laura Antonelli,Giancarlo Giannini,Alberto Lionello,Comedy,how funny can sex be?,Laura Antonelli Giancarlo Giannini Alberto Lionello Dino Risi Comedy
1466,Salvatore Samperi,Laura Antonelli,Turi Ferro,Alessandro Momo,Comedy,malicious,Laura Antonelli Turi Ferro Alessandro Momo Salvatore Samperi Comedy
1467,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Crime Drama,papillon,Steve McQueen Dustin Hoffman Victor Jory Franklin J. Schaffner Crime Drama
1468,Ernst Hofbauer,Harald Baerow,Ulrike Butz,Elke Deuringer,Comedy Romance,14 and under,Harald Baerow Ulrike Butz Elke Deuringer Ernst Hofbauer Comedy Romance
1469,Norman Jewison,Ted Neeley,Carl Anderson,Yvonne Elliman,Music History Drama,jesus christ superstar,Ted Neeley Carl Anderson Yvonne Elliman Norman Jewison Music History Drama
1470,Guy Hamilton,Roger Moore,Yaphet Kotto,Jane Seymour,Adventure Action Thriller,live and let die,Roger Moore Yaphet Kotto Jane Seymour Guy Hamilton Adventure Action Thriller
1471,Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Action,enter the dragon,Bruce Lee John Saxon Jim Kelly Robert Clouse Action
1472,Walerian Borowczyk,Lise Danvers,Fabrice Luchini,Charlotte Alexandra,Drama Romance,immoral tales,Lise Danvers Fabrice Luchini Charlotte Alexandra Walerian Borowczyk Drama Romance
1473,Ted Post,Clint Eastwood,Hal Holbrook,Mitchell Ryan,Drama Crime Action,magnum force,Clint Eastwood Hal Holbrook Mitchell Ryan Ted Post Drama Crime Action
1474,Richard Lester,Michael York,Oliver Reed,Richard Chamberlain,Adventure Comedy History,the three musketeers,Michael York Oliver Reed Richard Chamberlain Richard Lester Adventure Comedy History
1475,J. Lee Thompson,Roddy McDowall,Natalie Trundy,Austin Stoker,Action Science Fiction,battle for the planet of the apes,Roddy McDowall Natalie Trundy Austin Stoker J. Lee Thompson Action Science Fiction
1476,René Laloux,Gérard Hernandez,Jean Valmont,Jennifer Drake,Animation Science Fiction,fantastic planet,Gérard Hernandez Jean Valmont Jennifer Drake René Laloux Animation Science Fiction
1477,Michael Crichton,Yul Brynner,Richard Benjamin,James Brolin,Adventure Science Fiction Western,westworld,Yul Brynner Richard Benjamin James Brolin Michael Crichton Adventure Science Fiction Western
1478,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Comedy Crime Drama,the sting,Paul Newman Robert Redford Robert Shaw George Roy Hill Comedy Crime Drama
1479,Tonino Valerii,Terence Hill,Henry Fonda,Jean Martin,Comedy Western,my name is nobody,Terence Hill Henry Fonda Jean Martin Tonino Valerii Comedy Western
1480,Francis Ford Coppola,Al Pacino,Robert Duvall,Diane Keaton,Drama Crime,the godfather part ii,Al Pacino Robert Duvall Diane Keaton Francis Ford Coppola Drama Crime
1481,Sigi Rothemund,Ekkehardt Belle,Jean-Claude Bouillon,Sylvia Kristel,Comedy Romance Drama,julia,Ekkehardt Belle Jean-Claude Bouillon Sylvia Kristel Sigi Rothemund Comedy Romance Drama
1482,Tobe Hooper,Marilyn Burns,Allen Danziger,Paul A. Partain,Horror,the texas chain saw massacre,Marilyn Burns Allen Danziger Paul A. Partain Tobe Hooper Horror
1483,Guy Hamilton,Roger Moore,Christopher Lee,Britt Ekland,Adventure Action Thriller,the man with the golden gun,Roger Moore Christopher Lee Britt Ekland Guy Hamilton Adventure Action Thriller
1484,Masaru Konuma,Naomi Tani,Nagatoshi Sakamoto,Hijiri Abe,Thriller Drama,flower & snake,Naomi Tani Nagatoshi Sakamoto Hijiri Abe Masaru Konuma Thriller Drama
1485,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Crime Drama Mystery Thriller,chinatown,Jack Nicholson Faye Dunaway John Huston Roman Polanski Crime Drama Mystery Thriller
1486,Sidney Lumet,Albert Finney,Lauren Bacall,Martin Balsam,Drama Thriller Mystery,murder on the orient express,Albert Finney Lauren Bacall Martin Balsam Sidney Lumet Drama Thriller Mystery
1487,Gianluigi Calderone,Ornella Muti,Gabriele Ferzetti,Eleonora Giorgi,Drama,appassionata,Ornella Muti Gabriele Ferzetti Eleonora Giorgi Gianluigi Calderone Drama
1488,Bertrand Blier,Gérard Depardieu,Miou-Miou,Patrick Dewaere,Comedy Drama,going places,Gérard Depardieu Miou-Miou Patrick Dewaere Bertrand Blier Comedy Drama
1489,Mel Brooks,Gene Wilder,Teri Garr,Marty Feldman,Comedy,young frankenstein,Gene Wilder Teri Garr Marty Feldman Mel Brooks Comedy
1490,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Western Comedy,blazing saddles,Cleavon Little Gene Wilder Slim Pickens Mel Brooks Western Comedy
1491,Salvatore Samperi,Laura Antonelli,Orazio Orlando,Alessandro Momo,Comedy,lovers and other relatives,Laura Antonelli Orazio Orlando Alessandro Momo Salvatore Samperi Comedy
1492,Just Jaeckin,Sylvia Kristel,Alain Cuny,Marika Green,Drama Romance,emmanuelle,Sylvia Kristel Alain Cuny Marika Green Just Jaeckin Drama Romance
1493,Michael Winner,Charles Bronson,Hope Lange,Vincent Gardenia,Crime Drama Action,death wish,Charles Bronson Hope Lange Vincent Gardenia Michael Winner Crime Drama Action
1494,Billy Wilder,Jack Lemmon,Walter Matthau,Susan Sarandon,Comedy,the front page,Jack Lemmon Walter Matthau Susan Sarandon Billy Wilder Comedy
1495,Robert Stevenson,Helen Hayes,Ken Berry,Stefanie Powers,Romance Comedy Family Fantasy,herbie rides again,Helen Hayes Ken Berry Stefanie Powers Robert Stevenson Romance Comedy Family Fantasy
1496,Jack Clayton,Robert Redford,Mia Farrow,Bruce Dern,Drama Romance,the great gatsby,Robert Redford Mia Farrow Bruce Dern Jack Clayton Drama Romance
